# Unseeded corpus words
# Each row is attested in the corpus and cannot reach an MDB gloss through the registered resolution paths.
# corpus_sentences: 210204
# corpus_tokens: 1776902
# equivalences_sha256: 5099aaae8ee6a40dc8a03b6502db3b757a49d79671258f0ed172fc2fed426665
# reviews_sha256: none
# scanned_unresolved_occurrences: 113715
# resolved_lexical_equivalence: 26
# resolved_conditioned_form: 190
# resolved_tagger_lemma: 1735
rank	form	occurrences	collection_count	dialect_count	region_count	surfaces	collections	dialects	dialect_paths	regions	tagger_lemmas	tagger_pos	review_disposition	suggested_parse	evidence	note	contexts
1733	ioroinkar	5	3	2	1	"[""ioroinkar""]"	"[""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""平取町アイヌ口承文芸"",""鍋沢元蔵筆録ノート""]"	"[""沙流"",""鵡川""]"	"[""北海道/南西/沙流"",""北海道/南西/鵡川""]"	"[""北海道""]"	"[{""value"":""ioroinkar"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""biratori/017/002#181"",""text"":""iku hene ka =an ka somo ki no ioroinkar=an."",""translation"":""お酒を飲むなんてこともせずに、遠くから眺めていました。"",""collection"":""平取町アイヌ口承文芸"",""document"":""ウエペケㇾ「トランネ　アオナ　トゥラ　オカ　アン」怠け者の父と暮らす"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N017P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""chiba-mukawa/0#1912"",""text"":""ioroinkar"",""translation"":""見物する"",""collection"":""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""document"":""新井田セイノ氏の言葉"",""dialect"":""鵡川"",""dialect_path"":""北海道/南西/鵡川"",""region"":""北海道"",""uri"":""https://www.gshpa.chiba-u.jp/cas/Ainu-archives/"",""source_slug"":""mukawa-dialect-dictionary-corpus""},{""sentence_id"":""nabesawa/010#173"",""text"":""a=nukar hike “ney ta pakno ioroinkar e=ki he ki ya?”"",""translation"":""私は見ていたが「いつまでも遠くから見物しているのか」"",""collection"":""鍋沢元蔵筆録ノート"",""document"":""yukar-3"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://minpaku.repo.nii.ac.jp/record/4895/files/SER134_04.pdf"",""source_slug"":""nabesawa-motozo-notebooks""}]"
1734	ipakasnukur	5	3	2	1	"[""ipakasnukur""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語教材テキスト""]"	"[""石狩"",""石狩川""]"	"[""北海道/北東/石狩""]"	"[""北海道""]"	"[{""value"":""ipakasnukur"",""count"":5}]"	"[{""value"":""NOUN"",""count"":5}]"	unreviewed				"[{""sentence_id"":""x-social/aynuitak_jiji#1863"",""text"":""Aynu anakne siantep tura okay wa eoripak utar ne sekor ipakasnukur itak ruwe ne wa."",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""非ウポポイ系アイヌ (@aynuitak_jiji)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/aynuitak_jiji/status/792022138957893632"",""source_slug"":null},{""sentence_id"":""zaidan-radio/2008/1/04#3"",""text"":""B: Ipakasnukur ne."",""translation"":""B: 先生です。"",""collection"":""アイヌ語ラジオ講座テキスト"",""document"":""4"",""dialect"":""石狩"",""dialect_path"":""北海道/北東/石狩"",""region"":""北海道"",""uri"":""https://www.ff-ainu.or.jp/radio/files/08-1.pdf"",""source_slug"":""ainu-radio-course""},{""sentence_id"":""zaidan-textbooks/ishikarigawa-beginner/19#2"",""text"":""Ipakasnukur es=pakasnu."",""translation"":""先生がお前たちを教えた。"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ19 人称について学ぶ7「お前を・お前たちを...する」の表現"",""dialect"":""石狩川"",""dialect_path"":""北海道/北東/石狩"",""region"":""北海道"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/ishikari_shokyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1735	kannakar	5	3	1	1	"[""kannakar""]"	"[""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""トピック別 アイヌ語会話辞典""]"	"[""沙流""]"	"[""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""kannakar"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""nam-archive/kawakami-minwa/11#533"",""text"":""a=cari uske a=kannakar ne ya ki kor"",""translation"":""そこを直すなどしながら"",""collection"":""アイヌ語アーカイブ"",""document"":""伝染病の神の息子とねたむ人間たち（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E4%BC%9D%E6%9F%93%E7%97%85%E3%81%AE%E7%A5%9E%E3%81%AE%E6%81%AF%E5%AD%90%E3%81%A8%E3%81%AD%E3%81%9F%E3%82%80%E4%BA%BA%E9%96%93%E3%81%9F%E3%81%A1%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""},{""sentence_id"":""ninjal-dict/024#10"",""text"":""a=kannakar"",""translation"":""元通りに直される"",""collection"":""トピック別 アイヌ語会話辞典"",""document"":""状態変化"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainu.ninjal.ac.jp/topic/"",""source_slug"":""topical-ainu-conversation-corpus""},{""sentence_id"":""x-social/ainudict_bot#1069"",""text"":""a=kannakar"",""translation"":""元通りに直される"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""トピック別アイヌ語会話辞典 非公式bot (@ainudict_bot)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/ainudict_bot/status/1668045457917095939"",""source_slug"":null}]"
1736	keraykusu	5	3	2	2	"[""keraykusu""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""浅井タケ昔話全集 I, II""]"	"[""小田洲"",""沙流・千歳""]"	"[""北海道/南西/沙流"",""樺太/西海岸/小田洲""]"	"[""北海道"",""樺太""]"	"[{""value"":""keraykusu"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""aa-asai/011#1"",""text"":""…n 'aacahahacin 'okore 'isan teh sinenehka yayreske monimahpo. 'etuhka ta'ah tura 'an manu. 'etuhka tura 'ani ike taa, 'etuhka monimahpo tura 'ani ike taa, keraykusu taa kopiyanu manu."",""translation"":""サンヌピシ村に娘が一羽のカラスと一緒に住んでいたとさ。(ふうん。Ｍ）サンヌピシ村でカラスと暮らしていたとさ。小さいときから…（アイヌ語で言ってちょうだい。Ｍ）小さいときから母さんもなく父さんもなく独りぼっちで育った娘だった。それでカラスと一緒にいたとさ。カラスと一緒にいて、カラスと娘が一緒にいて、おかげで孤独を慰め合っていた。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""カラスと娘"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at11aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""ainu-times/028/3#12"",""text"":""'tonkori ramatuhu an keraykusu pirikano an=rehte easkay anpe' sekor hawean."",""translation"":""『トンコリの魂のお陰でうまく弾けたんだよ』と。"",""collection"":""アイヌタイムズ"",""document"":""Fujiyama Haru húci k=etunankar"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""x-social/aynuitak_jiji#900"",""text"":""yaynu=an keraykusu"",""translation"":""考えられてきたおかげで"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""非ウポポイ系アイヌ (@aynuitak_jiji)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/aynuitak_jiji/status/661139718172602368"",""source_slug"":null}]"
1737	ki=hci	5	3	1	1	"[""ki=hci""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""エンチウ（樺太アイヌ語）会話入門"",""千徳太郎治のピウスツキ宛書簡""]"	"[""樺太""]"	"[""樺太""]"	"[""樺太""]"	"[{""value"":""ki=hci"",""count"":5}]"	"[{""value"":""NOUN"",""count"":5}]"	unreviewed				"[{""sentence_id"":""murasaki-enciw/08#9"",""text"":""A: taranoka 'aynu 'utah hemata ki=hci kusu 'okay=ahci hii?"",""translation"":""A: あの人たちが何をしているんだろう？"",""collection"":""エンチウ（樺太アイヌ語）会話入門"",""document"":""第8課"",""dialect"":""樺太"",""dialect_path"":""樺太"",""region"":""樺太"",""uri"":""urn:isbn:9784865381757"",""source_slug"":""enchiw-sakhalin-conversation""},{""sentence_id"":""sentoku/2#94"",""text"":""y ki=hci uneno pirika okay"",""translation"":""います。同じく元気でいます"",""collection"":""千徳太郎治のピウスツキ宛書簡"",""document"":""第3の手紙"",""dialect"":""樺太"",""dialect_path"":""樺太"",""region"":""樺太"",""uri"":""https://opac.ll.chiba-u.jp/da/curator/900023326/"",""source_slug"":""sentoku-pilsudski-letters""},{""sentence_id"":""x-social/mkpoli#156"",""text"":""utara opista kikanay okay ki=hci"",""translation"":""人々はみんな元気でいます"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""♪ まくぽり ☆彡 (@mkpoli)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/mkpoli/status/1866754296458645554"",""source_slug"":null}]"
1738	kikin	5	3	3	1	"[""kikin""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""平取町アイヌ口承文芸""]"	"[""十勝"",""沙流"",""沙流・千歳""]"	"[""北海道/北東/十勝"",""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""kikin"",""count"":5}]"	"[{""value"":""NOUN"",""count"":4}]"	unreviewed				"[{""sentence_id"":""ainu-times/005/4#4"",""text"":""kuttomo hup cikanakne kikin ari réan ni, húra yupke ni a=tuypa wa arki=an. ni ruye cikanakne kapu a=kar yakkay pirka korkay níteke usa a=kaypa wa su or en a=o wa a=popte. numihi anakne pon korkay a=e easkay. su otta kikinni a=popte wa imi an=ekamure tek ohonno an cikanakne kuttomo ponno kay riten nankor. kikinni wakka…"",""translation"":""のどが腫れたなら、キキンという名の木、香りの強い木 (注: エゾノウワミズザクラ) を切ってきます。 木が太かったら皮を剥いでもいいですが、枝も折って鍋に入れて煮ます。 実は小さいですが食べられます。 鍋でキキンニを煮て、服を頭にかぶってしばらくすると、 のどが少しでも治まるでしょう。キキンニの (を沸かした)お湯の湯気を決して逃がさないように服を頭にかぶって口を開けます。 のどが治まってくればいいです。 2度3度だけならのどは治まらないでしょう。"",""collection"":""アイヌタイムズ"",""document"":""omkekar hi ta"",""dialect"":""十勝"",""dialect_path"":""北海道/北東/十勝"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""biratori/021/006#45"",""text"":""mun ne yakka kikin ne yakka nep ne yakka ukoytak hawe ka"",""translation"":""草であれ、虫であれ、何であれお互いに話しをしていることを"",""collection"":""平取町アイヌ口承文芸"",""document"":""ウエペケㇾ「ポンニマ」小皿（途中テープ切れ　22号へ続く）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N021P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""x-social/okokkoituren#2873"",""text"":""sukus hauke wa kikin rek wa ratci kunneiwa ne ruwe ne wa."",""translation"":""日差しが緩くて虫が鳴いて、穏やかな朝です。"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""黒狐のシトゥンペ (@okokkoituren)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/okokkoituren/status/1830359760648192290"",""source_slug"":null}]"
1739	kisaruhu	5	3	3	1	"[""kisaruhu""]"	"[""elpr-a2"",""アイヌ語教材テキスト"",""浅井タケ昔話全集 I, II""]"	"[""ライチシカ"",""小田洲"",""来知志""]"	"[""樺太/西海岸/小田洲"",""樺太/西海岸/来知志""]"	"[""樺太""]"	"[{""value"":""kisaruhu"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""aa-asai/027#54"",""text"":""…hekaci pahkay, samahki pahkay, nah kii 'ike taa 'onne taa, rekucihi 'onne 'okoysehci 'osomahci yayne taa, rekucihi tuyteki ike ray manu. ray teh taa 'orowa kisaruhu taa 'opusihci 'ike taa, poro ninkaari kaari アノー 'ahunkehci teh taa 'ociwehci manu."",""translation"":""それでこんどは、その女、その死んだ男の妻は食べるものもなくなった。それからあちこちで子守をした。あちこちで子守をし、子守をしていたが、子どもを逆さにおぶったり、ちゃんとおぶったり、横におぶったりしたから、その首にオシッコしたり、エンコしたりして、とうとうその首が切れて死んでしまったとさ。死んでから、その耳に穴をあけて大きい耳輪をそこから通してお葬式を出したとさ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""おならの話"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at27aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""elpr-a2/039/fujiyama/005#21"",""text"":""etooninkaari sanke manuyke taa kisaruhu"",""translation"":""出して耳に通した。"",""collection"":""elpr-a2"",""document"":""トゥイタハ (言い伝え5)"",""dialect"":""ライチシカ"",""dialect_path"":""樺太/西海岸/来知志"",""region"":""樺太"",""uri"":""urn:issn:1346-082X"",""source_slug"":""corpus-sghwzc""},{""sentence_id"":""zaidan-textbooks/karahuto-intermediate/28#1"",""text"":""poroo etooninkaari sanke manuyke taa kisaruhu kotuye."",""translation"":""提げ飾りのついた大きな耳飾を出して、耳に通した"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ28 所有の表現２"",""dialect"":""来知志"",""dialect_path"":""樺太/西海岸/来知志"",""region"":""樺太"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/karahuto_tyukyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
1740	koci	5	3	2	1	"[""koci""]"	"[""AA研アイヌ語資料"",""アイヌ語訳新約聖書"",""トピック別 アイヌ語会話辞典""]"	"[""北海道"",""沙流""]"	"[""北海道"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""koci"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""aa-irc/031#466"",""text"":""Rikunpet un kotan ne a p kotan koci poka ka isam no,"",""translation"":""かつてリクンペッの村であったものは、村の跡形もなくなり、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 川上まつ子さん口演・石井正樹聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 21"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=31"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""bible/1pe/002#21"",""text"":""Tanpe kusu, eci=a=nisuk nisa ruwe ne; inanpe kusu ne yakun, Kiristo ne yakka eci utar kusu ayayramsitnere, awa, ne koci or ta eci=kari kuni ne, eci utar kusu aykoykarape ante nisa ruwe ne:"",""translation"":""あなたがたが召されたのはこのためです。というのは、キリストもあなたがたのために苦しみを受け、その足跡に続くようにと、模範を残されたからです。"",""collection"":""アイヌ語訳新約聖書"",""document"":""2"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""ninjal-dict/039#68"",""text"":""cikir koci; ruwehe"",""translation"":""足の跡；足跡"",""collection"":""トピック別 アイヌ語会話辞典"",""document"":""地"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainu.ninjal.ac.jp/topic/"",""source_slug"":""topical-ainu-conversation-corpus""}]"
1741	kocikasnukar	5	3	1	1	"[""kocikasnukar""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ"",""アイヌ語口承文芸コーパス""]"	"[""沙流""]"	"[""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""kocikasnukar"",""count"":5}]"	[]	unreviewed				"[{""sentence_id"":""aa-irc/010#16"",""text"":""etakasure kamuy kocikasnukar a=ki p ne kusu （ne）"",""translation"":""人より抜きんでて熊が授けられる幸運が私にあったので"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料「川上まつ子さん口演・欠ヶ端和也聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 10」"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=9"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""nam-archive/kawakami-minwa/10#287"",""text"":""ene kamuy kocikasnukar"",""translation"":""神が見守って"",""collection"":""アイヌ語アーカイブ"",""document"":""伝染病で生き残った男の話（1986）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E4%BC%9D%E6%9F%93%E7%97%85%E3%81%A7%E7%94%9F%E3%81%8D%E6%AE%8B%E3%81%A3%E3%81%9F%E7%94%B7%E3%81%AE%E8%A9%B1%EF%BC%881986%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""},{""sentence_id"":""ninjal-folklore/014#216"",""text"":""sorekus kamuy kocikasnukar wa an pe ne wa a=kor pe a=po ne kus,"",""translation"":""カムイのご加護によって授かった息子なのだから、"",""collection"":""アイヌ語口承文芸コーパス"",""document"":""チチケウニッネイと疱瘡神の息子"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainu.ninjal.ac.jp/folklore/"",""source_slug"":""ninjal-folklore-corpus""}]"
1742	koesoyosma	5	3	1	1	"[""koesoyosma""]"	"[""アイヌ語アーカイブ"",""平取町アイヌ口承文芸"",""鍋沢元蔵筆録ノート""]"	"[""沙流""]"	"[""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""koesoyosma"",""count"":5}]"	"[{""value"":""ADP"",""count"":3},{""value"":""NOUN"",""count"":2}]"	unreviewed				"[{""sentence_id"":""biratori/022/007#40"",""text"":""soyun ciketoy a=koesoyosma"",""translation"":""外庭に出て行き"",""collection"":""平取町アイヌ口承文芸"",""document"":""ルパイェユカㇻ"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N022P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""nabesawa/009#89"",""text"":""rap=an ayne a=kor a mosir cioposore pokna mosir opospa wa rap=an ayne a=ye rok kuni yacine mosir teyne mosir a=koesoyosma inkar=an ruwe ene oka hi"",""translation"":""下りるうちに人間の国をくぐりぬけ下の国を通り抜けて下りたあげくいわゆる谷地の国湿った国にパッと飛び込んで見たのはこのようだった。"",""collection"":""鍋沢元蔵筆録ノート"",""document"":""yukar-2"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://minpaku.repo.nii.ac.jp/record/4895/files/SER134_04.pdf"",""source_slug"":""nabesawa-motozo-notebooks""},{""sentence_id"":""nam-archive/kawakami-minwa/18#456"",""text"":""a=koesoyosma akusu"",""translation"":""に出ました。"",""collection"":""アイヌ語アーカイブ"",""document"":""あの世の入り口（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29%E3%81%82%E3%81%AE%E4%B8%96%E3%81%AE%E5%85%A5%E3%82%8A%E5%8F%A3%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
1743	kohi	5	3	3	1	"[""kohi"",""kôhî""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト""]"	"[""旭川方言"",""沙流・千歳"",""白老""]"	"[""北海道/北東/石狩"",""北海道/南西/沙流"",""北海道/南西/白老""]"	"[""北海道""]"	"[{""value"":""kohi"",""count"":5}]"	"[{""value"":""NOUN"",""count"":2}]"	unreviewed				"[{""sentence_id"":""ainu-times/058/1#17"",""text"":""Utapke ka porosere a=okére wa kunneywa k=útapke benchi or ta k=a wa kôhî ku=ku kor sonno ku=sampe pirka."",""translation"":""修理も大半が終わり、朝、自分で直したべンチに座ってコーヒーを飲むと心が落ち着く。"",""collection"":""アイヌタイムズ"",""document"":""Husko cise ku=hok ruwe ne"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""upopoy-dict#3"",""text"":""kohi an=ku kusu akup ekota paye=an rok!"",""translation"":""珈琲を飲みにカフェに行きましょう！"",""collection"":null,""document"":""ウポポイのアイヌ語表示辞典"",""dialect"":""旭川方言"",""dialect_path"":""北海道/北東/石狩"",""region"":""北海道"",""uri"":""https://nam.go.jp/wp/wp-content/uploads/2025/04/5c5e1f24922be5ef27295ed7cbba5e48.pdf"",""source_slug"":""upopoy-ainu-language-signage-dictionary""},{""sentence_id"":""x-social/okokkoituren#342"",""text"":""iruka kusini wa kôhî kuku so."",""translation"":""一寸コーヒーブレイクにしましょう。"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""黒狐のシトゥンペ (@okokkoituren)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/okokkoituren/status/1567747104092848128"",""source_slug"":null}]"
1744	konoye	5	3	2	2	"[""konoye""]"	"[""アイヌ語アーカイブ"",""浅井タケ昔話全集 I, II"",""鍋沢元蔵筆録ノート""]"	"[""小田洲"",""沙流""]"	"[""北海道/南西/沙流"",""樺太/西海岸/小田洲""]"	"[""北海道"",""樺太""]"	"[{""value"":""konoye"",""count"":5}]"	"[{""value"":""VERB"",""count"":5}]"	unreviewed				"[{""sentence_id"":""aa-asai/039#48"",""text"":""monimhahpo tani taa huhteh naa 'unci 'ohta 'ama 'ike ta'a paaha kara 'ike 'epaapahsekakara. 'orowa taa kemaha naa huure po'us tah konoye. tekihi naa huure po'us konoye. tani taa 'ecikiiki numa manu."",""translation"":""娘は今度、松葉を火にくべて、煙を出して、煙らせた。それから、足にも、赤い布をつけ、手にも赤い布を付けて、今、エチキーキは起きたとさ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""エチキーキ鳥"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at39aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""nabesawa/010#57"",""text"":""kayani kitay sine ikinne at konoye at sarkese Poysoyaunmat tekkonoye koyay’otoytum- anpa kane ne rapoki Poysoyaunkur hayok sak nispa rokuntew upsor etamani"",""translation"":""帆柱のてっぺんすべてに（アカㇺの）紐がからみつき，紐の端をポイソヤウンマッは手にまきつけて力を振りしぼってそうしている間にポイソヤウンクㇰ（という）鎧のない勇士は戦艦の中で刀で戦っていました。"",""collection"":""鍋沢元蔵筆録ノート"",""document"":""yukar-3"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://minpaku.repo.nii.ac.jp/record/4895/files/SER134_04.pdf"",""source_slug"":""nabesawa-motozo-notebooks""},{""sentence_id"":""nam-archive/yukar/05#764"",""text"":""inunpe ka... konoye kor"",""translation"":""炉縁木を踏みつけながら"",""collection"":""アイヌ語アーカイブ"",""document"":""高貴な兄とよこしまな姉（1983）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E3%83%A6%E3%83%BC%E3%82%AB%E3%83%A9%E8%AA%9E%E3%82%8A%28%EF%BD%B1%29%E9%AB%98%E8%B2%B4%E3%81%AA%E5%85%84%E3%81%A8%E3%82%88%E3%81%93%E3%81%97%E3%81%BE%E3%81%AA%E5%A7%89%EF%BC%881983%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
